GlyTouCan ID,Glycosylation Type,UniCarbKB,PubChem,GlycomeDB
G00056HH,N-Linked,3487,-,39511
G00503EE,N-Linked,-,SID252278894,19000
G00544JF,N-Linked,5367,-,39797
G00995HW,N-Linked,-,SID252289420,19829
G00998NI,N-Linked,1603,SID252291679,17419
G01361CV,N-Linked,1119,SID252279783,17448
G01406RR,N-Linked,2887,SID252281343,19764
G02631NI,N-Linked,1837,-,39243
G03015LB,N-Linked,2127,-,39302
G03151MA,N-Linked,4922,-,39721
G03277UZ,N-Linked,-,SID252284311,17949
G03652TR,N-Linked,1061,SID252281213,5748
G03749EO,N-Linked,3465,-,39505
G04251SC,N-Linked,4626,-,39690
G04448SK,N-Linked,1849,-,39249
G04874SZ,N-Linked,2921,-,39421
G05188BU,N-Linked,5366,SID252281641,19878
G05478GN,N-Linked,2535,SID252284889,20083
G05979RR,N-Linked,5138,SID252295408,18980
G06067KZ,N-Linked,5369,SID252280069,19067
G06070ZH,N-Linked,4787,-,39701
G06442NS,N-Linked,2581,-,39375
G06642AP,N-Linked,3981,-,40560
G07380TS,N-Linked,-,SID252283251,20345
G07414XZ,N-Linked,7264,-,40261
G07829JQ,N-Linked,6533,SID252283108,40049
G08111FJ,N-Linked,-,SID252282948,19778
G08161JQ,N-Linked,-,SID252283775,20360
G09060YK,N-Linked,4340,-,39640
G09131WF,N-Linked,5609,-,39862
G09416DG,N-Linked,-,SID252294635,10121
G09568JT,N-Linked,1919,SID252288559,11813
G10109RQ,N-Linked,3055,-,39440
G10122RQ,N-Linked,4039,-,40565
G10219AA,N-Linked,-,SID252288179,1866
G10254QG,N-Linked,3467,-,39506
G10470SE,N-Linked,1745,SID252278127,18349
G10666VQ,N-Linked,-,SID252284606,20038
G11176QN,N-Linked,6685,-,40077
G11509RN,N-Linked,-,SID252290115,2067
G12338DQ,N-Linked,3457,-,39501
G12371GV,N-Linked,7173,-,40220
G13054AU,N-Linked,5550,-,39840
G13346MU,N-Linked,3553,-,32233
G13397YQ,N-Linked,7101,-,40174
G14431ZQ,N-Linked,1801,SID252287460,39239
G14462MX,N-Linked,7340,-,40300
G14576KZ,N-Linked,1487,SID252276280,17591
G14606UO,N-Linked,5107,-,39735
G15527QL,N-Linked,-,SID252289308,24597
G15774QX,N-Linked,3459,-,39502
G15887VX,N-Linked,4587,-,39674
G16633VX,N-Linked,3563,-,20265
G16829EX,N-Linked,1785,-,39236
G17541OC,N-Linked,5185,-,39784
G17639DA,N-Linked,7095,SID252296070,40169
G17652MS,N-Linked,2985,-,17911
G17697SQ,N-Linked,5568,-,39856
G18808AB,N-Linked,4790,-,39704
G19221SF,N-Linked,2827,-,39403
G19520XO,N-Linked,-,SID252292919,24628
G19747OA,N-Linked,1064,SID252294638,17412
G19840AF,N-Linked,7175,-,40847
G20079RG,N-Linked,1499,SID252286273,17651
G20624LQ,N-Linked,1053,SID252296646,3018
G20640TY,N-Linked,6542,-,40054
G20663AI,N-Linked,5538,-,39837
G20724DU,N-Linked,4228,-,39611
G20912QY,N-Linked,7266,-,40262
G21380FF,N-Linked,-,SID252277404,19017
G21508HF,N-Linked,4583,-,39670
G21514JX,N-Linked,3913,-,39565
G22122FL,N-Linked,7091,SID252291189,20123
G22123FD,N-Linked,2589,-,39379
G22163FP,N-Linked,4791,-,39705
G22587DK,N-Linked,3021,SID252296190,20589
G22747ZM,N-Linked,6692,-,40083
G22768VO,N-Linked,-,SID252290629,773
G22972ZW,N-Linked,4799,-,39710
G23132GK,N-Linked,3975,-,39576
G23817OE,N-Linked,-,SID252288458,19071
G24229GD,N-Linked,4608,SID252283471,39679
G24439WH,N-Linked,3281,-,39461
G24599MW,N-Linked,1939,SID252294598,5736
G24604HV,N-Linked,1665,SID252287190,11811
G24660HK,N-Linked,6696,-,40087
G24763HX,N-Linked,7261,-,40258
G25530RC,N-Linked,5559,-,39847
G25864LQ,N-Linked,5583,-,39857
G25890BU,N-Linked,-,SID252284578,21144
G25902AL,N-Linked,1203,SID252283111,17504
G26189BB,N-Linked,1773,-,39231
G26383OK,N-Linked,6594,SID252286320,40071
G26441EY,N-Linked,5141,-,39752
G26928DP,N-Linked,3979,-,39578
G27110FB,N-Linked,7291,SID252291865,40281
G27817LK,N-Linked,4923,-,39722
G27826HM,N-Linked,5475,-,39831
G27874QL,N-Linked,3385,SID252288172,19078
G27929ZE,N-Linked,3595,SID252288723,6936
G27933RJ,N-Linked,4041,-,40566
G28176UJ,N-Linked,5949,-,39937
G28330DZ,N-Linked,1267,SID252294047,17538
G28962GO,N-Linked,1701,SID252280460,18598
G29024OJ,N-Linked,1493,SID252285015,17491
G29248WR,N-Linked,4606,SID252291515,19786
G29461HI,N-Linked,1703,SID252285294,18975
G29535RH,N-Linked,1925,-,39259
G29729BX,N-Linked,-,SID252290225,13936
G30529FG,N-Linked,-,SID252283513,18362
G30797DS,N-Linked,1921,-,19964
G30861MI,N-Linked,7149,-,40207
G30915AU,N-Linked,4109,SID252278942,18269
G31105PF,N-Linked,2593,-,39381
G31316SG,N-Linked,5376,-,39804
G31744OB,N-Linked,4794,-,39707
G31810OU,N-Linked,6698,-,40089
G32365IM,N-Linked,1843,-,39246
G32692TS,N-Linked,7209,-,40240
G33233SX,N-Linked,7103,-,40177
G33581QC,N-Linked,7099,-,36442
G33685ZQ,N-Linked,1525,SID252292091,19771
G34572TY,N-Linked,4822,-,40621
G35174SC,N-Linked,3361,-,39480
G35257UG,N-Linked,5605,-,39860
G35621GU,N-Linked,3535,-,39519
G35796VW,N-Linked,7263,-,40260
G36020VB,N-Linked,4609,SID252293630,39680
G36057HE,N-Linked,3545,-,39524
G36094SC,N-Linked,7262,-,40259
G36521SZ,N-Linked,3469,-,39507
G36859SD,N-Linked,1489,SID252289636,17540
G36999JV,N-Linked,6595,SID252295658,40072
G37260FV,N-Linked,4783,SID252293865,18601
G37260VJ,N-Linked,3541,-,39522
G37676KD,N-Linked,5951,-,39940
G38297TU,N-Linked,2545,SID252291856,17921
G38682DV,N-Linked,1839,-,39244
G38746TV,N-Linked,3279,-,39459
G39062YR,N-Linked,-,SID252283425,18635
G39065HZ,N-Linked,3949,SID252296745,39570
G39213VZ,N-Linked,-,SID252289783,1857
G39452ZZ,N-Linked,1659,SID252276896,11817
G39478RR,N-Linked,-,SID252280076,20548
G39761RS,N-Linked,3977,-,39577
G39893KL,N-Linked,2627,SID252279571,17643
G40033BQ,N-Linked,3475,-,39510
G40086WC,N-Linked,6430,-,40018
G40198OD,N-Linked,"1066, 7040",SID252295160,17440
G40268BC,N-Linked,-,SID252295766,18356
G40452FK,N-Linked,-,SID252275814,28897
G40786FB,N-Linked,2449,SID252293097,28905
G40900UQ,N-Linked,-,SID252275822,19163
G41081WD,N-Linked,6686,-,40078
G41315PN,N-Linked,2109,-,39295
G41817BL,N-Linked,-,SID252287767,28794
G41824PC,N-Linked,-,SID252287305,8818
G42295MA,N-Linked,1609,SID252283838,17913
G42415XD,N-Linked,1685,SID252286149,19763
G42525DE,N-Linked,1319,SID252295161,28708
G42653GO,N-Linked,-,SID252284374,20364
G43320NB,N-Linked,2523,-,39369
G43499QE,N-Linked,1617,SID252287454,18250
G44364RM,N-Linked,3121,SID252280242,28879
G44754DF,N-Linked,2073,SID252292933,17580
G44865OQ,N-Linked,-,SID252278453,10115
G45137VE,N-Linked,7109,-,40181
G45287IG,N-Linked,7176,-,40848
G45844RR,N-Linked,7105,-,40179
G45995IV,N-Linked,1477,SID252283362,17428
G46038XL,N-Linked,-,SID252295265,32287
G46088TL,N-Linked,7290,-,40280
G46207JN,N-Linked,5554,-,39843
G46387UV,N-Linked,-,SID252285552,8252
G46649RP,N-Linked,2527,-,39370
G46666WR,N-Linked,3271,-,39458
G46747LH,N-Linked,1809,-,39241
G46836GH,N-Linked,-,SID252288698,1243
G46991EQ,N-Linked,-,SID252284588,18955
G47063XU,N-Linked,7082,-,40165
G47427YD,N-Linked,-,SID252282926,19811
G47706TA,N-Linked,2583,-,39376
G47961RS,N-Linked,4027,-,40563
G48305IM,N-Linked,3319,-,40499
G48341FU,N-Linked,5556,-,39845
G48421GV,N-Linked,2915,SID252291862,17664
G48442VP,N-Linked,3973,SID252295174,17644
G48515VQ,N-Linked,5377,-,39805
G48614JL,N-Linked,7163,SID252290280,40212
G49225WK,N-Linked,1957,SID252286676,17758
G49282JI,N-Linked,3017,SID252282840,11494
G49407NB,N-Linked,1741,-,39225
G49872TN,N-Linked,4238,SID252292313,39618
G49900EU,N-Linked,5514,-,39834
G49930HB,N-Linked,-,SID252283855,2998
G49980RY,N-Linked,3011,-,39433
G49984EZ,N-Linked,6539,-,40052
G49993RR,N-Linked,7160,SID252286646,40210
G50293EM,N-Linked,4584,-,39671
G50375VB,N-Linked,5566,-,39854
G50502BT,N-Linked,2519,-,39367
G50507PS,N-Linked,1677,SID252282902,17548
G50543NR,N-Linked,4805,-,39712
G50728CA,N-Linked,-,SID252277380,20931
G50839HB,N-Linked,2521,-,39368
G51266ML,N-Linked,4037,-,40564
G51654CU,N-Linked,-,SID252276607,20005
G51823DN,N-Linked,2585,-,39377
G51923CR,N-Linked,3543,-,39523
G52441NC,N-Linked,3115,SID252280354,28836
G52524GO,N-Linked,3501,-,39515
G52724WY,N-Linked,2493,SID252284715,18248
G52934AK,N-Linked,-,SID252289997,13408
G52971DE,N-Linked,1247,SID252294131,17675
G53582JE,N-Linked,1599,SID252294623,17497
G53667CH,N-Linked,-,SID252277934,2066
G53923UR,N-Linked,2631,SID252276986,24722
G54306CN,N-Linked,6691,-,40082
G54371KD,N-Linked,6538,-,40051
G54380FJ,N-Linked,2629,SID252289150,19903
G54578EI,N-Linked,6695,-,40086
G55075ZC,N-Linked,6156,-,39988
G55653UQ,N-Linked,7161,-,40211
G55803NG,N-Linked,7174,SID252292414,40221
G56014GC,N-Linked,-,SID252294815,10120
G56076WY,N-Linked,4796,-,39708
G56202TA,N-Linked,1081,SID252289440,8624
G56301MI,N-Linked,3495,-,39512
G56321MP,N-Linked,3461,-,39503
G56517YZ,N-Linked,3709,-,39544
G56653RI,N-Linked,6597,SID252276845,17566
G56749GV,N-Linked,-,SID252285077,216
G56988MG,N-Linked,4610,SID252293843,39681
G57001BK,N-Linked,4115,-,39586
G57228LQ,N-Linked,2509,-,39366
G57437DS,N-Linked,7162,-,40844
G57832QR,N-Linked,7140,-,40203
G58056LQ,N-Linked,4204,-,39597
G58217PP,N-Linked,1195,SID252287067,17465
G58381OV,N-Linked,"1949, 7094",SID252280262,39264
G58517TJ,N-Linked,1907,SID252282355,20169
G58521VQ,N-Linked,3539,-,39521
G58746AB,N-Linked,-,SID252294606,18658
G59132RG,N-Linked,1853,-,39251
G59406KS,N-Linked,-,SID252277342,6934
G59513YA,N-Linked,1681,SID252277228,17454
G59600VW,N-Linked,7169,-,40216
G59655SA,N-Linked,-,SID252290812,218
G60634GK,N-Linked,2105,-,39293
G60653MP,N-Linked,2829,-,39404
G60653VD,N-Linked,1149,SID252293832,17821
G60689VV,N-Linked,5109,-,39737
G60956VN,N-Linked,1495,SID252295683,17517
G61365NL,N-Linked,3455,-,39500
G61457CY,N-Linked,1831,SID252284812,18054
G61601ZZ,N-Linked,-,SID252293072,3016
G61717JN,N-Linked,2099,SID252288753,17467
G61751GZ,N-Linked,-,SID252284290,1865
G62364JZ,N-Linked,3015,SID252287761,28899
G62630DP,N-Linked,2919,-,39420
G62899XL,N-Linked,3929,-,39568
G62968IF,N-Linked,1669,SID252285740,17470
G63024BG,N-Linked,1627,SID252276847,17559
G63166WT,N-Linked,-,SID252279738,2068
G63428PQ,N-Linked,7158,-,40842
G63480NF,N-Linked,2661,SID252283002,17641
G63648EU,N-Linked,7106,-,40180
G64048GU,N-Linked,-,SID252292262,32242
G64181WT,N-Linked,3697,-,39540
G64541LV,N-Linked,3693,-,39538
G64860JV,N-Linked,2481,SID252293904,19039
G65984FE,N-Linked,1099,SID252295061,17527
G66072SG,N-Linked,3533,-,39518
G66741YQ,N-Linked,1521,SID252285181,5935
G66932MV,N-Linked,1277,SID252286539,18059
G67042FO,N-Linked,1799,SID252277003,39238
G67066JI,N-Linked,-,SID252294087,20553
G67079AO,N-Linked,-,SID252279078,28842
G67342MA,N-Linked,2165,SID252284488,17914
G67356RW,N-Linked,7168,-,40215
G67457ES,N-Linked,1851,-,39250
G67767BR,N-Linked,2533,SID252279315,19967
G67915MO,N-Linked,2663,SID252294625,17642
G69306BS,N-Linked,1841,-,39245
G69725KG,N-Linked,1527,SID252284842,17896
G69871VI,N-Linked,5606,-,39861
G69962LT,N-Linked,6693,-,40084
G69987TD,N-Linked,1491,SID252278952,17761
G70052MF,N-Linked,-,SID252296960,28742
G70073SG,N-Linked,1060,SID252289748,17645
G70144QU,N-Linked,7368,-,40313
G70382WT,N-Linked,1973,SID252290496,19844
G70548CP,N-Linked,3449,SID252283005,28785
G70613ZY,N-Linked,7156,-,40840
G70978CR,N-Linked,3695,-,39539
G70994WA,N-Linked,7164,-,40213
G71451NN,N-Linked,-,SID252278833,19028
G72131JM,N-Linked,1199,SID252282973,17446
G72527VN,N-Linked,7293,SID252295842,40284
G72954XC,N-Linked,"1137, 4215",SID252295295,17443
G73866ZM,N-Linked,1249,SID252288236,17415
G74325TG,N-Linked,1501,SID252281048,17439
G74674RX,N-Linked,5553,-,28763
G74930NM,N-Linked,3463,-,39504
G75932ZJ,N-Linked,7038,-,40153
G75985RP,N-Linked,3703,-,39541
G76048UD,N-Linked,6535,-,40050
G76085KR,N-Linked,5131,-,39745
G76128PG,N-Linked,4789,-,39703
G76241TN,N-Linked,2101,SID252284987,17542
G76924RW,N-Linked,3585,SID252287695,18259
G77064XE,N-Linked,2479,-,39363
G77252PU,N-Linked,-,SID252278801,2382
G77479VH,N-Linked,2473,SID252285535,17824
G78059CC,N-Linked,-,SID252285486,2275
G78068ZV,N-Linked,5128,-,39742
G78391CU,N-Linked,-,SID252277385,19936
G78525CL,N-Linked,5106,-,39734
G78769BZ,N-Linked,6427,-,40015
G79554OX,N-Linked,5108,-,39736
G79624PM,N-Linked,4792,-,39706
G79761XY,N-Linked,5864,-,39925
G79794WE,N-Linked,3983,-,40561
G79954CG,N-Linked,-,SID252293262,20158
G80276UF,N-Linked,5127,-,39741
G80563TH,N-Linked,2693,-,39390
G81121OC,N-Linked,2169,SID252279106,17716
G81915YU,N-Linked,1307,SID252276638,18997
G82529OA,N-Linked,-,SID252284044,20542
G82779CI,N-Linked,-,SID252282721,9368
G82953UJ,N-Linked,5663,-,39870
G83001IJ,N-Linked,6460,-,40045
G83553MC,N-Linked,7292,SID252296542,40282
G83737UD,N-Linked,1663,SID252277161,11816
G83943AU,N-Linked,5567,-,39855
G83958MI,N-Linked,3579,SID252287985,6935
G84153KU,N-Linked,-,SID252288800,18976
G84181KU,N-Linked,7104,-,40178
G84622HC,N-Linked,4043,-,40567
G84674JQ,N-Linked,5137,SID252284503,19011
G84689MX,N-Linked,1739,-,39224
G84908OR,N-Linked,-,SID252293664,19586
G85507NU,N-Linked,3057,-,39441
G85545IG,N-Linked,1275,SID252284918,17915
G85599NG,N-Linked,-,SID252276133,32288
G85755BV,N-Linked,1803,SID252277641,28770
G86053IC,N-Linked,"1085, 7041",SID252286624,17505
G86385RC,N-Linked,1083,SID252294569,17425
G86386QT,N-Linked,2103,SID252288712,17495
G86495BQ,N-Linked,-,SID252285214,20304
G86522OD,N-Linked,1647,SID252280176,17516
G87695KR,N-Linked,1883,SID252294628,17709
G87777GG,N-Linked,3019,SID252279199,18649
G87784HD,N-Linked,"1951, 7093",SID252291233,24631
G87908HE,N-Linked,-,SID252279896,19954
G87937HR,N-Linked,-,SID252289897,28741
G88242BL,N-Linked,3107,SID252286803,18985
G88334IC,N-Linked,-,SID252287214,10122
G88495BI,N-Linked,1187,SID252283786,17394
G88605BA,N-Linked,7171,SID252282474,40218
G88734GE,N-Linked,1747,SID252279593,18957
G88784SV,N-Linked,-,SID252289845,20846
G88876JQ,N-Linked,1623,SID252285540,17482
G89049LM,N-Linked,5136,-,39750
G89080KU,N-Linked,5563,-,39851
G89080QE,N-Linked,5373,-,39801
G89532GI,N-Linked,-,SID252290118,20382
G89587BP,N-Linked,5557,-,39846
G89738UT,N-Linked,5515,-,39835
G89846HT,N-Linked,3707,-,39543
G90543DL,N-Linked,5368,-,39798
G90655SK,N-Linked,3001,-,39430
G90889KG,N-Linked,1189,SID252296822,17393
G91072BD,N-Linked,7289,-,40279
G91121ZF,N-Linked,3559,-,24620
G92015OM,N-Linked,7217,-,40247
